"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2004","06","06063","Plumas County (CA)","21,316","2,092","1,615","2,570","1,615 to 2,570","9.8","7.6","12.1","7.6 to 12.1","4,178","612","451","772","451 to 772","14.6","10.8","18.5","10.8 to 18.5","3,260","441","311","571","311 to 571","13.5","9.5","17.5","9.5 to 17.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,309","$38,799","$43,982","$38,799 to $43,982"
"2004","06","06065","Riverside County (CA)","1,917,605","229,043","181,796","276,290","181,796 to 276,290","11.9","9.5","14.4","9.5 to 14.4","553,056","92,584","70,517","114,651","70,517 to 114,651","16.7","12.8","20.7","12.8 to 20.7","403,527","60,958","44,595","77,321","44,595 to 77,321","15.1","11.1","19.2","11.1 to 19.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,885","$44,424","$49,482","$44,424 to $49,482"
"2004","06","06067","Sacramento County (CA)","1,346,986","183,173","144,938","221,409","144,938 to 221,409","13.6","10.8","16.4","10.8 to 16.4","371,632","70,080","53,159","87,000","53,159 to 87,000","18.9","14.3","23.4","14.3 to 23.4","266,897","47,633","34,692","60,574","34,692 to 60,574","17.8","13.0","22.7","13.0 to 22.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,215","$44,711","$49,860","$44,711 to $49,860"
"2004","06","06069","San Benito County (CA)","55,598","4,866","3,770","5,961","3,770 to 5,961","8.8","6.8","10.7","6.8 to 10.7","17,176","2,078","1,543","2,613","1,543 to 2,613","12.1","9.0","15.2","9.0 to 15.2","12,587","1,447","1,027","1,867","1,027 to 1,867","11.5","8.2","14.8","8.2 to 14.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$57,595","$54,128","$61,283","$54,128 to $61,283"
"2004","06","06071","San Bernardino County (CA)","1,922,275","295,608","234,916","356,301","234,916 to 356,301","15.4","12.2","18.5","12.2 to 18.5","602,727","126,952","96,896","157,007","96,896 to 157,007","21.1","16.1","26.0","16.1 to 26.0","440,913","85,246","62,507","107,985","62,507 to 107,985","19.3","14.2","24.5","14.2 to 24.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,179","$40,954","$45,525","$40,954 to $45,525"
"2004","06","06073","San Diego County (CA)","2,840,901","308,791","246,697","370,886","246,697 to 370,886","10.9","8.7","13.1","8.7 to 13.1","757,996","111,422","85,319","137,526","85,319 to 137,526","14.7","11.3","18.1","11.3 to 18.1","530,091","75,080","55,331","94,829","55,331 to 94,829","14.2","10.4","17.9","10.4 to 17.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,939","$49,523","$54,472","$49,523 to $54,472"
"2004","06","06075","San Francisco County (CA)","731,872","84,862","66,962","102,762","66,962 to 102,762","11.6","9.1","14.0","9.1 to 14.0","108,539","18,458","13,911","23,004","13,911 to 23,004","17.0","12.8","21.2","12.8 to 21.2","67,695","11,652","8,427","14,877","8,427 to 14,877","17.2","12.4","22.0","12.4 to 22.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,815","$48,912","$54,890","$48,912 to $54,890"
"2004","06","06077","San Joaquin County (CA)","650,669","90,952","71,441","110,463","71,441 to 110,463","14.0","11.0","17.0","11.0 to 17.0","196,416","37,197","28,083","46,311","28,083 to 46,311","18.9","14.3","23.6","14.3 to 23.6","141,209","25,250","18,263","32,237","18,263 to 32,237","17.9","12.9","22.8","12.9 to 22.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,814","$42,235","$47,550","$42,235 to $47,550"
"2004","06","06079","San Luis Obispo County (CA)","241,357","25,038","19,471","30,605","19,471 to 30,605","10.4","8.1","12.7","8.1 to 12.7","50,923","6,560","4,916","8,205","4,916 to 8,205","12.9","9.7","16.1","9.7 to 16.1","37,858","4,361","3,126","5,596","3,126 to 5,596","11.5","8.3","14.8","8.3 to 14.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,225","$43,481","$49,143","$43,481 to $49,143"
"2004","06","06081","San Mateo County (CA)","693,213","45,963","36,008","55,917","36,008 to 55,917","6.6","5.2","8.1","5.2 to 8.1","164,622","13,704","10,263","17,144","10,263 to 17,144","8.3","6.2","10.4","6.2 to 10.4","113,604","9,517","6,829","12,205","6,829 to 12,205","8.4","6.0","10.7","6.0 to 10.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$65,425","$61,571","$69,521","$61,571 to $69,521"
