"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06085","Santa Clara County, CA","1,537,645","0","255,173","19,720","16.6","1.3","1,282,472","21,807","83.4","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06087","Santa Cruz County, CA","224,322","0","41,753","2,782","18.6","1.2","182,569","2,782","81.4","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06087","Santa Cruz County, CA","224,148","0","41,226","2,687","18.4","1.2","182,921","2,687","81.6","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06087","Santa Cruz County, CA","225,006","0","40,797","2,682","18.1","1.2","184,209","2,682","81.9","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06087","Santa Cruz County, CA","225,178","0","41,184","2,780","18.3","1.2","183,994","2,780","81.7","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06087","Santa Cruz County, CA","220,261","0","39,653","2,539","18.0","1.2","180,608","2,539","82.0","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06087","Santa Cruz County, CA","219,242","0","37,142","2,432","16.9","1.1","182,100","2,432","83.1","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06087","Santa Cruz County, CA","219,806","0","44,523","4,741","20.3","2.2","175,283","5,013","79.7","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06087","Santa Cruz County, CA","218,763","0","49,218","5,093","22.5","2.3","169,544","5,077","77.5","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06089","Shasta County, CA","144,238","0","26,012","1,808","18.0","1.3","118,226","1,808","82.0","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06089","Shasta County, CA","145,149","0","27,568","1,868","19.0","1.3","117,581","1,868","81.0","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06089","Shasta County, CA","146,095","0","26,453","1,927","18.1","1.3","119,642","1,927","81.9","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06089","Shasta County, CA","146,102","0","25,788","1,891","17.7","1.3","120,314","1,891","82.3","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06089","Shasta County, CA","150,964","0","26,814","1,840","17.8","1.2","124,150","1,840","82.2","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06089","Shasta County, CA","151,073","0","27,403","2,072","18.1","1.4","123,670","2,072","81.9","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06089","Shasta County, CA","151,518","0","23,745","3,740","15.7","2.5","127,773","4,015","84.3","2.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06089","Shasta County, CA","151,565","0","23,613","3,988","15.6","2.6","127,952","4,063","84.4","2.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06091","Sierra County, CA","2,276","0","471","44","20.7","1.9","1,805","44","79.3","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06091","Sierra County, CA","2,337","0","483","44","20.7","1.9","1,855","44","79.3","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06091","Sierra County, CA","2,420","0","486","45","20.1","1.9","1,934","45","79.9","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06091","Sierra County, CA","2,572","0","468","46","18.2","1.8","2,104","46","81.8","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06091","Sierra County, CA","2,567","0","470","43","18.3","1.7","2,097","43","81.7","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06091","Sierra County, CA","2,661","0","539","51","20.2","1.9","2,122","51","79.8","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2007","06091","Sierra County, CA","2,668","0","522","80","19.6","3.0","2,146","84","80.4","3.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2006","06091","Sierra County, CA","2,743","0","654","91","23.8","3.3","2,090","90","76.2","3.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2013","06093","Siskiyou County, CA","33,899","0","6,881","512","20.3","1.5","27,018","512","79.7","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2012","06093","Siskiyou County, CA","34,633","0","6,550","499","18.9","1.4","28,083","499","81.1","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2011","06093","Siskiyou County, CA","35,521","0","7,108","530","20.0","1.5","28,413","530","80.0","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2010","06093","Siskiyou County, CA","35,982","0","7,022","567","19.5","1.6","28,959","567","80.5","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2009","06093","Siskiyou County, CA","35,590","0","6,760","515","19.0","1.4","28,830","515","81.0","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2008","06093","Siskiyou County, CA","35,723","0","6,889","577","19.3","1.6","28,834","577","80.7","1.6"
